	Z1	Z2	Z3	St_coeff1	St_coeff2	St_coeff3	Eneg1	Eneg2	Eneg3	Space Group	Composition
851	16	81	23	8.0	1.0	5.0	2.58	1.62	1.63	5	Tl1 V5 S8
852	16	41	50	2.0	1.0	1.0	2.58	1.6	1.96	194	Nb1 Sn1 S2
853	16	27	81	2.0	2.0	1.0	2.58	1.88	1.62	139	Tl1 Co2 S2
854	28	83	8	8.0	18.0	36.0	1.91	2.02	3.44	197	Ni8 Bi18 O36
855	16	42	35	6.0	6.0	2.0	2.58	2.16	2.96	148	Mo6 S6 Br2
856	41	8	49	1.0	4.0	1.0	1.6	3.44	1.78	13	Nb1 In1 O4
857	81	34	47	1.0	1.0	1.0	1.62	2.55	1.93	62	Tl1 Ag1 Se1
858	32	8	29	1.0	4.0	2.0	2.01	3.44	1.9	141	Cu2 Ge1 O4
859	15	8	23	3.0	9.0	1.0	2.19	3.44	1.63	9	V1 P3 O9
860	82	41	8	3.0	2.0	8.0	2.33	1.6	3.44	141	Nb2 Pb3 O8
861	21	15	8	1.0	3.0	9.0	1.36	2.19	3.44	220	Sc1 P3 O9
862	6	45	8	27.0	12.0	25.0	2.55	2.28	3.44	19	Rh12 C27 O25
863	16	42	50	8.0	6.0	1.0	2.58	2.16	1.96	148	Sn1 Mo6 S8
864	15	8	46	2.0	6.0	1.0	2.19	3.44	2.2	53	P2 Pd1 O6
865	15	8	48	6.0	17.0	2.0	2.19	3.44	1.69	14	Cd2 P6 O17
866	15	8	23	2.0	7.0	1.0	2.19	3.44	1.63	122	V1 P2 O7
867	15	8	78	2.0	7.0	1.0	2.19	3.44	2.28	14	P2 Pt1 O7
868	16	25	31	4.0	1.0	2.0	2.58	1.55	1.81	15	Mn1 Ga2 S4
869	6	26	8	14.0	4.0	13.0	2.55	1.83	3.44	14	Fe4 C14 O13
870	53	41	34	1.0	1.0	1.0	2.66	1.6	2.55	216	Nb1 Se1 I1
871	24	81	16	1.0	1.0	2.0	1.66	1.62	2.58	160	Tl1 Cr1 S2
872	8	13	47	2.0	1.0	1.0	3.44	1.61	1.93	194	Al1 Ag1 O2
873	15	27	8	4.0	2.0	12.0	2.19	1.88	3.44	15	Co2 P4 O12
874	17	8	48	2.0	2.0	3.0	3.16	3.44	1.69	14	Cd3 Cl2 O2
875	82	75	8	1.0	2.0	8.0	2.33	1.9	3.44	157	Re2 Pb1 O8
876	15	16	73	4.0	29.0	4.0	2.19	2.58	1.5	96	Ta4 P4 S29
877	6	77	8	16.0	6.0	16.0	2.55	2.2	3.44	15	Ir6 C16 O16
878	15	8	74	1.0	11.0	3.0	2.19	3.44	2.36	19	P1 W3 O11
879	15	8	74	1.0	14.0	4.0	2.19	3.44	2.36	19	P1 W4 O14
880	15	16	30	2.0	6.0	2.0	2.19	2.58	1.65	12	Zn2 P2 S6
881	82	8	78	2.0	4.0	1.0	2.33	3.44	2.28	55	Pt1 Pb2 O4
882	13	8	22	2.0	15.0	7.0	1.61	3.44	1.54	12	Ti7 Al2 O15
883	41	34	35	1.0	2.0	2.0	1.6	2.55	2.96	2	Nb1 Se2 Br2
884	41	34	35	3.0	10.0	3.0	1.6	2.55	2.96	11	Nb3 Se10 Br3
885	15	42	8	2.0	1.0	7.0	2.19	2.16	3.44	205	Mo1 P2 O7
886	51	25	8	2.0	1.0	6.0	2.05	1.55	3.44	150	Mn1 Sb2 O6
887	24	8	15	2.0	13.0	4.0	1.66	3.44	2.19	14	Cr2 P4 O13
888	15	8	74	1.0	5.0	1.0	2.19	3.44	2.36	33	P1 W1 O5
889	51	27	8	2.0	1.0	6.0	2.05	1.88	3.44	136	Co1 Sb2 O6
890	6	8	74	6.0	6.0	1.0	2.55	3.44	2.36	62	W1 C6 O6
891	15	30	8	4.0	1.0	11.0	2.19	1.65	3.44	14	Zn1 P4 O11
892	81	52	29	4.0	3.0	1.0	1.62	2.1	1.9	140	Tl4 Cu1 Te3
893	81	52	42	4.0	3.0	1.0	1.62	2.1	2.16	140	Tl4 Te3 Mo1
894	82	8	29	1.0	2.0	2.0	2.33	3.44	1.9	15	Cu2 Pb1 O2
895	14	52	78	1.0	1.0	1.0	1.9	2.1	2.28	61	Si1 Te1 Pt1
896	15	27	8	4.0	1.0	11.0	2.19	1.88	3.44	14	Co1 P4 O11
897	53	52	47	1.0	1.0	1.0	2.66	2.1	1.93	70	Ag1 Te1 I1
898	42	8	49	18.0	28.0	5.0	2.16	3.44	1.78	14	In5 Mo18 O28
899	52	72	17	4.0	1.0	6.0	2.1	1.3	3.16	2	Hf1 Te4 Cl6
900	40	34	17	1.0	4.0	6.0	1.33	2.55	3.16	138	Zr1 Se4 Cl6
901	72	34	17	1.0	4.0	6.0	1.3	2.55	3.16	138	Hf1 Se4 Cl6
902	5	8	22	1.0	3.0	1.0	2.04	3.44	1.54	167	Ti1 B1 O3
903	52	35	73	4.0	12.0	2.0	2.1	2.96	1.5	2	Ta2 Te4 Br12
904	52	73	17	4.0	2.0	12.0	2.1	1.5	3.16	2	Ta2 Te4 Cl12
905	15	8	29	8.0	22.0	2.0	2.19	3.44	1.9	2	Cu2 P8 O22
906	33	30	8	2.0	4.0	9.0	2.18	1.65	3.44	14	Zn4 As2 O9
907	33	30	8	2.0	3.0	8.0	2.18	1.65	3.44	14	Zn3 As2 O8
908	32	8	47	2.0	7.0	6.0	2.01	3.44	1.93	4	Ag6 Ge2 O7
909	40	34	17	1.0	2.0	12.0	1.33	2.55	3.16	43	Zr1 Se2 Cl12
910	42	34	17	1.0	2.0	12.0	2.16	2.55	3.16	43	Mo1 Se2 Cl12
911	72	34	17	1.0	2.0	12.0	1.3	2.55	3.16	43	Hf1 Se2 Cl12
912	26	8	13	1.0	3.0	1.0	1.83	3.44	1.61	33	Al1 Fe1 O3
913	75	52	17	6.0	4.0	10.0	1.9	2.1	3.16	2	Re6 Te4 Cl10
914	15	16	23	4.0	13.0	2.0	2.19	2.58	1.63	2	V2 P4 S13
915	41	34	35	6.0	20.0	6.0	1.6	2.55	2.96	14	Nb6 Se20 Br6
916	42	83	8	2.0	2.0	9.0	2.16	2.02	3.44	14	Bi2 Mo2 O9
917	32	26	8	3.0	8.0	18.0	2.01	1.83	3.44	14	Fe8 Ge3 O18
918	24	81	8	3.0	2.0	12.0	1.66	1.62	3.44	60	Tl2 Cr3 O12
919	41	34	35	3.0	10.0	2.0	1.6	2.55	2.96	73	Nb3 Se10 Br2
920	15	16	73	2.0	11.0	2.0	2.19	2.58	1.5	14	Ta2 P2 S11
921	53	34	29	1.0	3.0	1.0	2.66	2.55	1.9	166	Cu1 Se3 I1
922	6	76	8	16.0	4.0	16.0	2.55	2.2	3.44	2	Os4 C16 O16
923	15	8	73	1.0	5.0	1.0	2.19	3.44	1.5	14	Ta1 P1 O5
924	32	72	8	1.0	1.0	4.0	2.01	1.3	3.44	88	Hf1 Ge1 O4
925	41	34	35	4.0	16.0	2.0	1.6	2.55	2.96	14	Nb4 Se16 Br2
926	34	35	73	16.0	2.0	4.0	2.55	2.96	1.5	14	Ta4 Se16 Br2
927	8	83	78	7.0	2.0	2.0	3.44	2.02	2.28	227	Bi2 Pt2 O7
928	5	8	25	1.0	5.0	3.0	2.04	3.44	1.55	55	Mn3 B1 O5
929	82	28	34	2.0	3.0	2.0	2.33	1.91	2.55	166	Ni3 Pb2 Se2
930	32	27	34	3.0	2.0	3.0	2.01	1.88	2.55	146	Co2 Ge3 Se3
931	32	27	16	3.0	2.0	3.0	2.01	1.88	2.58	146	Co2 Ge3 S3
932	15	8	29	4.0	11.0	1.0	2.19	3.44	1.9	2	Cu1 P4 O11
933	34	46	17	6.0	1.0	2.0	2.55	2.2	3.16	14	Pd1 Se6 Cl2
934	32	8	47	3.0	10.0	8.0	2.01	3.44	1.93	7	Ag8 Ge3 O10
935	32	16	47	1.0	6.0	8.0	2.01	2.58	1.93	33	Ag8 Ge1 S6
936	33	26	8	2.0	4.0	11.0	2.18	1.83	3.44	2	Fe4 As2 O11
937	16	83	47	12.0	7.0	3.0	2.58	2.02	1.93	12	Ag3 Bi7 S12
938	51	34	29	1.0	3.0	3.0	2.05	2.55	1.9	62	Cu3 Sb1 Se3
939	44	50	8	3.0	15.0	14.0	2.2	1.96	3.44	8	Sn15 Ru3 O14
940	33	27	8	2.0	7.0	12.0	2.18	1.88	3.44	74	Co7 As2 O12
941	42	52	17	1.0	2.0	12.0	2.16	2.1	3.16	148	Te2 Mo1 Cl12
942	41	34	17	2.0	17.0	12.0	1.6	2.55	3.16	2	Nb2 Se17 Cl12
943	34	35	73	17.0	12.0	2.0	2.55	2.96	1.5	2	Ta2 Se17 Br12
944	52	45	17	1.0	1.0	1.0	2.1	2.28	3.16	8	Te1 Rh1 Cl1
945	52	35	46	2.0	6.0	1.0	2.1	2.96	2.2	14	Te2 Pd1 Br6
946	34	35	46	2.0	6.0	1.0	2.55	2.96	2.2	2	Pd1 Se2 Br6
947	40	8	7	4.0	66.0	24.0	1.33	3.44	3.04	2	Zr4 N24 O66
948	40	8	7	4.0	65.0	24.0	1.33	3.44	3.04	2	Zr4 N24 O65
949	75	52	17	1.0	8.0	6.0	1.9	2.1	3.16	15	Re1 Te8 Cl6
950	75	52	17	6.0	16.0	18.0	1.9	2.1	3.16	161	Re6 Te16 Cl18
951	75	52	17	6.0	16.0	6.0	1.9	2.1	3.16	18	Re6 Te16 Cl6
952	8	50	47	3.0	1.0	2.0	3.44	1.96	1.93	182	Ag2 Sn1 O3
953	33	30	8	2.0	1.0	4.0	2.18	1.65	3.44	14	Zn1 As2 O4
954	41	50	8	2.0	1.0	6.0	1.6	1.96	3.44	15	Nb2 Sn1 O6
955	24	8	15	3.0	8.0	2.0	1.66	3.44	2.19	19	Cr3 P2 O8
956	81	26	34	1.0	1.0	2.0	1.62	1.83	2.55	12	Tl1 Fe1 Se2
957	6	26	8	1.0	1.0	3.0	2.55	1.83	3.44	167	Fe1 C1 O3
958	6	30	8	1.0	1.0	3.0	2.55	1.65	3.44	167	Zn1 C1 O3
959	16	83	47	5.0	3.0	1.0	2.58	2.02	1.93	12	Ag1 Bi3 S5
960	51	34	29	1.0	4.0	3.0	2.05	2.55	1.9	121	Cu3 Sb1 Se4
961	32	16	46	1.0	3.0	1.0	2.01	2.58	2.2	12	Ge1 Pd1 S3
962	53	52	46	2.0	1.0	1.0	2.66	2.1	2.2	2	Te1 Pd1 I2
963	8	47	7	6.0	3.0	5.0	3.44	1.93	3.04	36	Ag3 N5 O6
964	34	35	29	2.0	1.0	1.0	2.55	2.96	1.9	14	Cu1 Se2 Br1
965	44	16	17	2.0	6.0	16.0	2.2	2.58	3.16	2	Ru2 S6 Cl16
966	44	16	17	1.0	4.0	12.0	2.2	2.58	3.16	14	Ru1 S4 Cl12
967	16	26	31	4.0	1.0	2.0	2.58	1.83	1.81	164	Ga2 Fe1 S4
968	8	13	47	34.0	22.0	3.0	3.44	1.61	1.93	194	Al22 Ag3 O34
969	8	47	49	2.0	1.0	1.0	3.44	1.93	1.78	166	In1 Ag1 O2
970	75	35	34	6.0	2.0	8.0	1.9	2.96	2.55	14	Re6 Se8 Br2
971	34	35	73	8.0	6.0	3.0	2.55	2.96	1.5	2	Ta3 Se8 Br6
972	75	16	17	3.0	7.0	7.0	1.9	2.58	3.16	159	Re3 S7 Cl7
973	75	16	35	3.0	7.0	7.0	1.9	2.58	2.96	159	Re3 S7 Br7
974	75	35	34	3.0	7.0	7.0	1.9	2.96	2.55	159	Re3 Se7 Br7
975	75	34	17	3.0	7.0	7.0	1.9	2.55	3.16	57	Re3 Se7 Cl7
976	53	41	34	6.0	2.0	2.0	2.66	1.6	2.55	15	Nb2 Se2 I6
977	5	52	73	1.0	8.0	4.0	2.04	2.1	1.5	55	Ta4 B1 Te8
978	32	16	47	1.0	3.0	2.0	2.01	2.58	1.93	36	Ag2 Ge1 S3
979	33	27	34	1.0	1.0	1.0	2.18	1.88	2.55	58	Co1 As1 Se1
980	16	30	49	5.0	2.0	2.0	2.58	1.65	1.78	186	Zn2 In2 S5
981	16	50	47	6.0	1.0	8.0	2.58	1.96	1.93	33	Ag8 Sn1 S6
982	52	83	78	1.0	1.0	1.0	2.1	2.02	2.28	198	Bi1 Te1 Pt1
983	44	16	33	1.0	1.0	1.0	2.2	2.58	2.18	14	As1 Ru1 S1
984	16	76	33	1.0	1.0	1.0	2.58	2.2	2.18	14	As1 Os1 S1
985	33	34	29	1.0	4.0	3.0	2.18	2.55	1.9	216	Cu3 As1 Se4
986	16	83	47	2.0	1.0	1.0	2.58	2.02	1.93	225	Ag1 Bi1 S2
987	82	16	45	2.0	2.0	3.0	2.33	2.58	2.28	166	Rh3 Pb2 S2
988	33	34	29	1.0	2.0	1.0	2.18	2.55	1.9	216	Cu1 As1 Se2
989	6	16	41	1.0	1.0	2.0	2.55	2.58	1.6	194	Nb2 C1 S1
990	23	8	7	2.0	1.0	1.0	1.63	3.44	3.04	225	V2 N1 O1
991	52	83	47	2.0	1.0	1.0	2.1	2.02	1.93	166	Ag1 Bi1 Te2
992	81	52	47	1.0	2.0	1.0	1.62	2.1	1.93	119	Tl1 Ag1 Te2
993	24	5	8	1.0	1.0	3.0	1.66	2.04	3.44	167	Cr1 B1 O3
994	24	16	13	1.0	4.0	2.0	1.66	2.58	1.61	227	Al2 Cr1 S4
995	24	16	49	1.0	4.0	2.0	1.66	2.58	1.78	227	Cr1 In2 S4
996	16	6	22	2.0	2.0	4.0	2.58	2.55	1.54	194	Ti4 C2 S2
997	16	6	40	2.0	2.0	4.0	2.58	2.55	1.33	194	Zr4 C2 S2
998	39	16	33	2.0	1.0	1.0	1.22	2.58	2.18	225	Y2 As1 S1
999	39	33	34	4.0	1.0	3.0	1.22	2.18	2.55	225	Y4 As1 Se3
1000	51	34	47	1.0	2.0	1.0	2.05	2.55	1.93	225	Ag1 Sb1 Se2
1001	51	52	47	1.0	2.0	1.0	2.05	2.1	1.93	225	Ag1 Sb1 Te2
1002	83	8	73	4.0	11.0	2.0	2.02	3.44	1.5	2	Ta2 Bi4 O11
1003	82	16	26	2.0	3.0	1.0	2.33	2.58	1.83	65	Fe1 Pb2 S3
1004	32	16	29	1.0	4.0	4.0	2.01	2.58	1.9	14	Cu4 Ge1 S4
1005	83	8	73	1.0	19.0	7.0	2.02	3.44	1.5	193	Ta7 Bi1 O19
1006	53	41	52	7.0	3.0	1.0	2.66	1.6	2.1	186	Nb3 Te1 I7
1007	51	45	8	1.0	1.0	4.0	2.05	2.28	3.44	136	Sb1 Rh1 O4
1008	30	34	31	1.0	4.0	2.0	1.65	2.55	1.81	121	Zn1 Ga2 Se4
1009	32	26	34	1.0	2.0	4.0	2.01	1.83	2.55	62	Fe2 Ge1 Se4
1010	32	34	48	1.0	6.0	4.0	2.01	2.55	1.69	9	Cd4 Ge1 Se6
1011	83	8	73	7.0	18.0	3.0	2.02	3.44	1.5	1	Ta3 Bi7 O18
1012	8	74	83	24.0	1.0	14.0	3.44	2.36	2.02	87	Bi14 W1 O24
1013	42	83	8	1.0	14.0	24.0	2.16	2.02	3.44	87	Bi14 Mo1 O24
1014	32	16	29	1.0	6.0	8.0	2.01	2.58	1.9	31	Cu8 Ge1 S6
1015	42	52	17	1.0	3.0	16.0	2.16	2.1	3.16	36	Te3 Mo1 Cl16
1016	15	8	48	4.0	11.0	1.0	2.19	3.44	1.69	2	Cd1 P4 O11
1017	75	52	35	2.0	6.0	10.0	1.9	2.1	2.96	4	Re2 Te6 Br10
1018	52	72	17	8.0	1.0	6.0	2.1	1.3	3.16	2	Hf1 Te8 Cl6
1019	8	83	47	3.0	1.0	2.0	3.44	2.02	1.93	52	Ag2 Bi1 O3
1020	15	80	8	2.0	6.0	8.0	2.19	2.0	3.44	14	Hg6 P2 O8
1021	15	80	8	2.0	4.0	7.0	2.19	2.0	3.44	13	Hg4 P2 O7
1022	52	74	17	1.0	1.0	9.0	2.1	2.36	3.16	2	Te1 W1 Cl9
1023	41	52	17	1.0	1.0	9.0	1.6	2.1	3.16	2	Nb1 Te1 Cl9
1024	52	73	17	1.0	1.0	9.0	2.1	1.5	3.16	2	Ta1 Te1 Cl9
1025	52	74	35	1.0	1.0	9.0	2.1	2.36	2.96	11	Te1 W1 Br9
1026	52	35	73	1.0	9.0	1.0	2.1	2.96	1.5	11	Ta1 Te1 Br9
1027	51	16	28	1.0	1.0	1.0	2.05	2.58	1.91	198	Ni1 Sb1 S1
1028	30	52	31	1.0	4.0	2.0	1.65	2.1	1.81	82	Zn1 Ga2 Te4
1029	15	8	22	1.0	2.0	3.0	2.19	3.44	1.54	164	Ti3 P1 O2
1030	15	8	40	1.0	2.0	3.0	2.19	3.44	1.33	164	Zr3 P1 O2
1031	51	25	52	1.0	2.0	1.0	2.05	1.55	2.1	194	Mn2 Sb1 Te1
1032	25	52	50	1.0	2.0	1.0	1.55	2.1	1.96	225	Mn1 Sn1 Te2
1033	25	83	8	1.0	1.0	3.0	1.55	2.02	3.44	5	Mn1 Bi1 O3
1034	16	50	29	16.0	7.0	4.0	2.58	1.96	1.9	166	Cu4 Sn7 S16
1035	16	50	29	3.0	1.0	2.0	2.58	1.96	1.9	121	Cu2 Sn1 S3
1036	53	52	46	1.0	1.0	1.0	2.66	2.1	2.2	131	Te1 Pd1 I1
1037	80	8	17	3.0	1.0	1.0	2.0	3.44	3.16	15	Hg3 Cl1 O1
1038	6	45	8	12.0	4.0	12.0	2.55	2.28	3.44	14	Rh4 C12 O12
1039	5	8	23	1.0	3.0	1.0	2.04	3.44	1.63	167	V1 B1 O3
1040	51	52	28	1.0	1.0	2.0	2.05	2.1	1.91	194	Ni2 Sb1 Te1
1041	82	8	23	2.0	9.0	3.0	2.33	3.44	1.63	2	V3 Pb2 O9
1042	81	34	29	1.0	3.0	5.0	1.62	2.55	1.9	136	Tl1 Cu5 Se3
1043	14	34	29	1.0	3.0	2.0	1.9	2.55	1.9	9	Si1 Cu2 Se3
1044	8	74	83	9.0	2.0	2.0	3.44	2.36	2.02	33	Bi2 W2 O9
1045	30	8	49	3.0	6.0	2.0	1.65	3.44	1.78	166	Zn3 In2 O6
1046	75	8	51	2.0	6.0	1.0	1.9	3.44	2.05	15	Re2 Sb1 O6
1047	15	30	8	2.0	2.0	7.0	2.19	1.65	3.44	57	Zn2 P2 O7
1048	72	8	7	2.0	1.0	2.0	1.3	3.44	3.04	206	Hf2 N2 O1
1049	15	26	8	3.0	1.0	9.0	2.19	1.83	3.44	9	Fe1 P3 O9
1050	16	50	29	6.0	1.0	4.0	2.58	1.96	1.9	166	Cu4 Sn1 S6
1051	83	8	23	4.0	10.0	2.0	2.02	3.44	1.63	62	V2 Bi4 O10
1052	82	72	8	1.0	1.0	3.0	2.33	1.3	3.44	55	Hf1 Pb1 O3
1053	30	8	49	5.0	8.0	2.0	1.65	3.44	1.78	166	Zn5 In2 O8
1054	8	83	47	3.0	1.0	1.0	3.44	2.02	1.93	148	Ag1 Bi1 O3
1055	26	8	13	2.0	4.0	1.0	1.83	3.44	1.61	227	Al1 Fe2 O4
1056	81	34	29	1.0	2.0	2.0	1.62	2.55	1.9	139	Tl1 Cu2 Se2
1057	15	27	34	1.0	1.0	1.0	2.19	1.88	2.55	61	Co1 P1 Se1
1058	42	34	49	3.0	3.0	1.0	2.16	2.55	1.78	176	In1 Mo3 Se3
1059	42	52	49	3.0	3.0	1.0	2.16	2.1	1.78	176	In1 Te3 Mo3
1060	41	34	49	1.0	2.0	1.0	1.6	2.55	1.78	187	Nb1 In1 Se2
1061	28	16	49	1.0	4.0	2.0	1.91	2.58	1.78	227	In2 Ni1 S4
1062	24	52	51	2.0	1.0	1.0	1.66	2.1	2.05	194	Cr2 Sb1 Te1
1063	34	29	49	16.0	4.0	9.0	2.55	1.9	1.78	215	In9 Cu4 Se16
1064	15	80	8	2.0	1.0	6.0	2.19	2.0	3.44	61	Hg1 P2 O6
1065	15	8	74	4.0	62.0	18.0	2.19	3.44	2.36	2	P4 W18 O62
1066	15	34	29	1.0	6.0	7.0	2.19	2.55	1.9	198	Cu7 P1 Se6
1067	41	8	9	1.0	2.0	1.0	1.6	3.44	3.98	167	Nb1 O2 F1
1068	33	80	8	2.0	1.0	6.0	2.18	2.0	3.44	162	Hg1 As2 O6
1069	75	16	17	2.0	1.0	12.0	1.9	2.58	3.16	11	Re2 S1 Cl12
1070	34	13	47	6.0	1.0	9.0	2.55	1.61	1.93	216	Al1 Ag9 Se6
1071	15	25	8	2.0	3.0	8.0	2.19	1.55	3.44	14	Mn3 P2 O8
1072	44	81	8	2.0	2.0	7.0	2.2	1.62	3.44	227	Tl2 Ru2 O7
1073	14	34	29	1.0	6.0	8.0	1.9	2.55	1.9	31	Si1 Cu8 Se6
1074	14	8	29	1.0	3.0	1.0	1.9	3.44	1.9	51	Si1 Cu1 O3
1075	32	26	8	1.0	1.0	3.0	2.01	1.83	3.44	15	Fe1 Ge1 O3
1076	16	31	23	8.0	1.0	4.0	2.58	1.81	1.63	216	V4 Ga1 S8
1077	16	79	81	3.0	4.0	2.0	2.58	2.54	1.62	59	Tl2 Au4 S3
1078	15	8	74	2.0	7.0	1.0	2.19	3.44	2.36	205	P2 W1 O7
1079	81	52	42	1.0	3.0	3.0	1.62	2.1	2.16	176	Tl1 Te3 Mo3
1080	14	25	8	7.0	7.0	21.0	1.9	1.55	3.44	2	Mn7 Si7 O21
1081	24	83	8	1.0	14.0	24.0	1.66	2.02	3.44	87	Cr1 Bi14 O24
1082	33	8	48	2.0	6.0	1.0	2.18	3.44	1.69	162	Cd1 As2 O6
1083	33	8	48	2.0	7.0	2.0	2.18	3.44	1.69	12	Cd2 As2 O7
1084	51	42	34	2.0	1.0	1.0	2.05	2.16	2.55	14	Sb2 Mo1 Se1
1085	8	29	49	2.0	1.0	1.0	3.44	1.9	1.78	166	In1 Cu1 O2
1086	15	8	74	2.0	10.0	2.0	2.19	3.44	2.36	62	P2 W2 O10
1087	75	35	34	6.0	10.0	4.0	1.9	2.96	2.55	2	Re6 Se4 Br10
1088	41	8	17	3.0	2.0	5.0	1.6	3.44	3.16	58	Nb3 Cl5 O2
1089	15	8	74	4.0	68.0	20.0	2.19	3.44	2.36	4	P4 W20 O68
1090	80	34	13	5.0	8.0	2.0	2.0	2.55	1.61	216	Al2 Hg5 Se8
1091	53	80	34	2.0	3.0	2.0	2.66	2.0	2.55	74	Hg3 Se2 I2
1092	53	16	80	2.0	2.0	3.0	2.66	2.58	2.0	74	Hg3 S2 I2
1093	15	80	8	4.0	9.0	16.0	2.19	2.0	3.44	161	Hg9 P4 O16
1094	15	80	8	2.0	7.0	10.0	2.19	2.0	3.44	14	Hg7 P2 O10
1095	41	34	17	1.0	1.0	9.0	1.6	2.55	3.16	14	Nb1 Se1 Cl9
1096	16	81	41	11.0	4.0	2.0	2.58	1.62	1.6	2	Nb2 Tl4 S11
1097	16	81	73	11.0	4.0	2.0	2.58	1.62	1.5	2	Ta2 Tl4 S11
1098	21	53	8	1.0	3.0	9.0	1.36	2.66	3.44	148	Sc1 I3 O9
1099	25	8	7	1.0	10.0	4.0	1.55	3.44	3.04	29	Mn1 N4 O10
1100	27	8	7	1.0	14.0	6.0	1.88	3.44	3.04	15	Co1 N6 O14
1101	25	8	7	1.0	6.0	2.0	1.55	3.44	3.04	205	Mn1 N2 O6
1102	27	8	7	1.0	6.0	2.0	1.88	3.44	3.04	148	Co1 N2 O6
1103	15	8	22	2.0	7.0	1.0	2.19	3.44	1.54	205	Ti1 P2 O7
1104	6	80	8	2.0	1.0	4.0	2.55	2.0	3.44	4	Hg1 C2 O4
1105	25	8	49	2.0	7.0	2.0	1.55	3.44	1.78	227	Mn2 In2 O7
1106	53	8	47	1.0	4.0	1.0	2.66	3.44	1.93	88	Ag1 I1 O4
1107	81	34	73	3.0	4.0	1.0	1.62	2.55	1.5	217	Ta1 Tl3 Se4
1108	16	47	49	8.0	1.0	5.0	2.58	1.93	1.78	227	In5 Ag1 S8
1109	16	50	47	2.0	1.0	1.0	2.58	1.96	1.93	225	Ag1 Sn1 S2
1110	34	50	47	2.0	1.0	1.0	2.55	1.96	1.93	225	Ag1 Sn1 Se2
1111	16	49	48	2.0	1.0	1.0	2.58	1.78	1.69	164	Cd1 In1 S2
1112	82	52	48	1.0	2.0	1.0	2.33	2.1	1.69	225	Cd1 Te2 Pb1
1113	52	50	48	2.0	1.0	1.0	2.1	1.96	1.69	225	Cd1 Sn1 Te2
1114	16	27	31	4.0	1.0	2.0	2.58	1.88	1.81	82	Ga2 Co1 S4
1115	51	8	48	2.0	7.0	2.0	2.05	3.44	1.69	74	Cd2 Sb2 O7
1116	14	26	8	3.0	2.0	9.0	1.9	1.83	3.44	2	Fe2 Si3 O9
1117	15	8	23	1.0	5.0	1.0	2.19	3.44	1.63	85	V1 P1 O5
1118	27	8	31	1.0	4.0	2.0	1.88	3.44	1.81	227	Ga2 Co1 O4
1119	81	26	34	1.0	2.0	2.0	1.62	1.83	2.55	139	Tl1 Fe2 Se2
1120	32	25	52	1.0	1.0	2.0	2.01	1.55	2.1	225	Mn1 Ge1 Te2
1121	39	32	16	4.0	1.0	3.0	1.22	2.01	2.58	225	Y4 Ge1 S3
1122	30	32	16	2.0	1.0	4.0	1.65	2.01	2.58	216	Zn2 Ge1 S4
1123	32	30	34	1.0	2.0	4.0	2.01	1.65	2.55	216	Zn2 Ge1 Se4
1124	16	80	49	4.0	1.0	2.0	2.58	2.0	1.78	227	In2 Hg1 S4
1125	9	8	73	3.0	1.0	1.0	3.98	3.44	1.5	139	Ta1 O1 F3
1126	41	8	9	1.0	1.0	3.0	1.6	3.44	3.98	139	Nb1 O1 F3
1127	80	8	7	2.0	3.0	2.0	2.0	3.44	3.04	96	Hg2 N2 O3
1128	16	46	17	6.0	6.0	6.0	2.58	2.2	3.16	11	Pd6 S6 Cl6
1129	26	8	7	1.0	14.0	5.0	1.83	3.44	3.04	14	Fe1 N5 O14
1130	40	8	7	1.0	17.0	6.0	1.33	3.44	3.04	88	Zr1 N6 O17
1131	75	34	17	1.0	4.0	6.0	1.9	2.55	3.16	56	Re1 Se4 Cl6
1132	16	81	73	3.0	1.0	1.0	2.58	1.62	1.5	62	Ta1 Tl1 S3
1133	15	25	8	4.0	2.0	12.0	2.19	1.55	3.44	15	Mn2 P4 O12
1134	81	34	73	4.0	11.0	2.0	1.62	2.55	1.5	2	Ta2 Tl4 Se11
1135	16	45	17	1.0	1.0	5.0	2.58	2.28	3.16	15	Rh1 S1 Cl5
1136	42	50	8	4.0	1.0	6.0	2.16	1.96	3.44	127	Sn1 Mo4 O6
1137	28	81	8	1.0	1.0	3.0	1.91	1.62	3.44	62	Tl1 Ni1 O3
1138	81	26	8	1.0	1.0	3.0	1.62	1.83	3.44	62	Tl1 Fe1 O3
1139	28	16	15	1.0	1.0	1.0	1.91	2.58	2.19	198	Ni1 P1 S1
1140	51	34	28	1.0	1.0	1.0	2.05	2.55	1.91	198	Ni1 Sb1 Se1
1141	16	33	46	1.0	1.0	1.0	2.58	2.18	2.2	198	As1 Pd1 S1
1142	33	34	46	1.0	1.0	1.0	2.18	2.55	2.2	198	As1 Pd1 Se1
1143	51	34	46	1.0	1.0	1.0	2.05	2.55	2.2	198	Sb1 Pd1 Se1
1144	51	52	46	1.0	1.0	1.0	2.05	2.1	2.2	198	Sb1 Te1 Pd1
1145	15	34	46	1.0	1.0	1.0	2.19	2.55	2.2	60	P1 Pd1 Se1
1146	32	26	8	1.0	2.0	4.0	2.01	1.83	3.44	227	Fe2 Ge1 O4
1147	34	13	29	8.0	5.0	1.0	2.55	1.61	1.9	227	Al5 Cu1 Se8
1148	82	8	23	2.0	12.0	5.0	2.33	3.44	1.63	13	V5 Pb2 O12
